
****
Starting LogProcess on   at Tue  7 Jun 23:49:51 CEST 2016
[Wed  8 Jun 00:14:07 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.253  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:14:18 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.250  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:14:38 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.253  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:14:52 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.250  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:15:11 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.253  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:15:21 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.250  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:15:41 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:16:02 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:16:11 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.250  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:16:24 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.253  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:16:45 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.252  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:17:00 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:17:18 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.253  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:17:34 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.250  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:17:52 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:18:11 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:18:27 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.251  Source addr:192.168.2.250 Filesize is 20 MB
[Wed  8 Jun 00:18:47 CEST 2016]TRANSPORT SUCCESSFUL Destination addr:192.168.2.253  Source addr:192.168.2.250 Filesize is 20 MB
